filename,kind,category,title,url
19_USGS_Landsat_C2_overview.pdf,pdf,official,"Landsat Collection 2",https://pubs.usgs.gov/fs/2021/3002/fs20213002.pdf
20_ASTER_AST07_user_guide.pdf,pdf,official,"ASTER Level-2 Land Surface Kinetic Temperature User Guide",https://lpdaac.usgs.gov/documents/67/AST_07_User_Guide_V3.pdf
21_SDGSAT1_data_products.html,html,official,"SDGSAT-1 Data Products",https://www.sdgsat.ac.cn/satellite/data
22_GF5_LST_emissivity.html,html,algorithm,"高分五号全谱段光谱成像仪地表温度与发射率反演",https://www.ygxb.ac.cn/zh/article/doi/10.11834/jrs.20198053/
23_Zhou_2019_SUHI_review_article.html,html,fallback,"Satellite Remote Sensing of Surface Urban Heat Islands - publisher page",https://www.mdpi.com/2072-4292/11/1/48
24_Li_2023_Global_LST_review_article.html,html,fallback,"Satellite Remote Sensing of Global Land Surface Temperature - full article",https://agupubs.onlinelibrary.wiley.com/doi/full/10.1029/2022RG000777
25_Yu_2020_threshold_review_article.html,html,fallback,"Critical review on the cooling effect of urban blue-green space - publisher page",https://www.sciencedirect.com/science/article/pii/S1618866719302572
26_Ren_2017_seasonal_green_space_mirror.pdf,pdf,fallback,"The Effect of Urban Green Spaces on the Urban Thermal Environment and Its Seasonal Variations",https://pdfs.semanticscholar.org/6a11/c3631e5c62d79ad94174d23c48a01d0df7ad.pdf
27_Wang_2020_Fuzhou_parks_article.html,html,fallback,"基于Landsat 8遥感影像的福州市区公园降温效应分析 - public record",https://www.researchgate.net/publication/346818099_Environmental_Ecology_-_Analysis_of_the_cooling_effect_of_Fuzhou_City_park_based_on_Landsat_8_image
28_Zhang_2018_Guangzhou_lake_article.html,html,fallback,"高密度建成区湖泊水体的热缓释效应及其季相差异 - journal record",https://www.jeesci.com/CN/10.16258/j.cnki.1674-5906.2018.07.017
29_Zhang_2018_Guangzhou_lake_direct.pdf,pdf,fallback,"高密度建成区湖泊水体的热缓释效应及其季相差异 - direct journal PDF candidate",https://www.jeesci.com/CN/article/downloadArticleFile.do?attachType=PDF&id=464
