编号,类别,题名,作者,年份,期刊或来源,DOI或标识,开放全文URL,用途,质量备注
13,水体实证,"Impact of Local Environment on Cooling Island Effect of Water Body: Case Study of Changsha, China","Qiu X.; Kil S.-H.; Park C.",2021,Sensors and Materials,10.18494/SAM.2021.3329,https://pdfs.semanticscholar.org/9390/9163865fe86a76d0726ef8f31cde1d7d4ef5.pdf,"长沙水体冷岛与局地环境",同行评议案例
14,水体实证,"The cooling effect of an urban lake landscape on the urban heat island: a case study in Jinan, China","Yang S.-J.; Ran G.-P.; Zhang W.; Wang Z.-H.",2020,Applied Ecology and Environmental Research,10.15666/aeer/1802_21972211,https://aloki.hu/pdf/1802_21972211.pdf,"城市湖泊降温强度与距离",同行评议案例
15,中国案例,"基于Landsat 8遥感影像的福州市区公园降温效应分析","王月; 林冬凤; 张玲; 等",2020,环境生态学,,https://www.researchgate.net/profile/Yue-Wang-328/publication/346818099_Environmental_Ecology_-_Analysis_of_the_cooling_effect_of_Fuzhou_City_park_based_on_Landsat_8_image/links/5fd1310d299bf188d406bfdb/Environmental-Ecology-Analysis-of-the-cooling-effect-of-Fuzhou-City-park-based-on-Landsat-8-image.pdf,"国内Landsat公园降温案例",中文案例
16,中国案例,"桂林市典型园林绿地与水体的降温效应研究","梁保平; 马艺芳; 李晖",2015,生态环境学报,,https://www.jeesci.com/99-16gk/article/2015/02/15%E6%A2%81%E4%BF%9D%E5%B9%B3278-285.pdf,"绿地与水体同城比较",中文核心案例
17,中国案例,"广州城市绿色空间与地表温度的格局关系研究","陈康林; 龚建周; 陈晓越; 李天翔",2016,生态环境学报,,https://www.jeesci.com/99-16gk/article/2016/05/17%E9%99%88%E5%BA%B7%E6%9E%97842-849.pdf,"绿色空间格局与LST",中文案例
18,中国案例,"城市公园对夏季热环境的影响——以上海市中心城区为例","阮俊杰",2016,生态环境学报,,https://www.jeesci.com/99-16gk/article/2016/10/10%E9%98%AE%E4%BF%8A%E6%9D%B01663-1670.pdf,"上海中心城区直接参考",中文案例
19,中国案例,"高密度建成区湖泊水体的热缓释效应及其季相差异——以广州市中心城区为例","张棋斐; 文雅; 吴志峰; 陈颖彪",2018,生态环境学报,,https://www.researchgate.net/profile/Qifei-Zhang-3/publication/331258062_Seasonal_Variations_of_the_Cooling_Effect_of_Water_Landscape_in_High-density_Urban_Built-up_Area_A_Case_Study_of_the_Center_Urban_District_of_Guangzhou/links/5c6ec28a92851c168fcc718c/Seasonal-Variations-of-the-Cooling-Effect-of-Water-Landscape-in-High-density-Urban-Built-up-Area-A-Case-Study-of-the-Center-Urban-District-of-Guangzhou.pdf,"湖泊水体季相差异",中文案例
20,中国综述,"城市公园降温效应的影响因素研究进展","杨宣; 宫聪",2024,中国城市林业,,https://journals.caf.ac.cn/data/article/zgcsly/preview/pdf/20240604.pdf,"国内近期公园降温综述",中文综述
21,LST算法,"高分五号全谱段光谱成像仪地表温度与发射率反演","相关作者见原文",2020,遥感学报,10.11834/jrs.20198053,https://www.ygxb.ac.cn/zh/article/doi/10.11834/jrs.20198053/,"国产多通道TIR温度发射率分离",算法与验证
22,LST算法,"Surface Temperature Retrieval From Gaofen-5 Observation and its Validation","Zhao E.; Han Q.; Gao C.",2021,IEEE Access,10.1109/ACCESS.2020.3047951,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9316141,"GF-5劈窗算法与验证",开放许可论文
23,前沿方法,"Machine Learning Application in Investigating Cooling Effect of Urban Blue–Green Infrastructure: A Systematic Review","相关作者见原文",2026,Technologies,10.3390/technologies14020105,https://www.mdpi.com/2227-7080/14/2/105/pdf,"2015-2025机器学习研究综述",近期综述
24,方法前沿,"A parameterization-based framework for quantifying the cooling effects of urban blue–green spaces: Comparative evaluation with buffer and Gaussian models","相关作者见原文",2026,Remote Sensing of Environment,10.1016/j.rse.2026.115311,https://www.sciencedirect.com/science/article/pii/S0034425726000817,"LST参数化方法，CI/CD/CE/CG统一估计",最新正式论文
25,误差警示,"Non-negligible clear-sky biases of satellite thermal infrared observations for analyzing surface urban heat island intensity: A case study in China","相关作者见原文",2024,Science of the Total Environment,,https://www.sciencedirect.com/science/article/pii/S0048969724050782,"清空采样偏差",方法警示

